1,191,2293,509,10424
2,10,1935,5360,10221
3,149,292,1802,10533
4,27,2421,3678,10241
5,139,525,4056,10521
6,40,524,5282,10245
7,39,2912,6362,10334
8,87,2971,8241,10444
9,137,969,6119,10145
10,178,987,4709,10138
11,135,2181,6523,10148
12,76,2446,5856,10470
13,141,1191,1548,10344
14,158,705,4390,10448
15,174,396,588,10072
16,33,1686,1899,10210
17,196,2589,2414,10027
18,10,2388,3034,10050
19,139,614,843,10316
20,53,159,9930,10168
21,110,1356,9511,10096
22,102,1177,3300,10453
23,35,775,3841,10045
24,102,2250,9783,10141
25,11,722,9006,10189
26,200,2598,9612,10573
27,156,1590,9140,10079
28,87,1796,2509,10227
29,108,2959,4859,10169
30,114,1889,2052,10288
31,105,2351,1298,10332
32,138,657,8135,10224
33,160,2912,6438,10471
34,63,2249,7157,10295
35,77,1055,5851,10394
36,193,2581,3478,10345
37,65,928,5113,10510
38,121,2649,5893,10585
39,47,2952,191,10420
40,30,846,8337,10386
41,164,2754,1693,10465
42,193,1602,3865,10102
43,164,2033,3097,10096
44,145,711,1852,10498
45,190,2993,1078,10590
46,11,583,1578,10166
47,158,1468,7025,10552
48,183,353,3657,10532
49,128,684,8989,10125
50,115,2532,2272,10307
51,165,2697,3420,10559
52,120,1766,7820,10537
53,194,895,1805,10492
54,92,251,9652,10195
55,92,1939,6245,10238
56,130,737,2644,10463
57,4,1046,7795,10537
58,176,430,7079,10219
59,139,2182,7470,10360
60,104,880,5462,10548
61,88,454,5319,10037
62,195,1028,1344,10412
63,20,2439,9865,10143
64,128,2789,3765,10268
65,98,1445,8365,10275
66,142,1822,7954,10232
67,99,2316,1576,10415
68,90,2852,8028,10417
69,37,2244,55,10405
70,153,2672,2380,10090
71,99,2192,9851,10313
72,126,2203,7886,10090
73,90,1428,8272,10371
74,73,2445,292,10560
75,28,1172,2108,10057
76,125,1161,5674,10493
77,176,460,3857,10072
78,35,1326,4965,10475
79,37,2825,4660,10323
80,51,1539,2949,10472
81,46,1831,5722,10536
82,103,1876,6406,10037
83,106,1376,6323,10393
84,184,2974,454,10436
85,70,1649,4293,10329
86,43,293,4444,10015
87,60,726,8800,10465
88,84,609,676,10223
89,113,744,7164,10433
90,137,2020,1121,10287
91,176,254,685,10537
92,63,1293,9943,10366
93,66,2230,9055,10376
94,132,744,8836,10272
95,187,835,8,10190
96,17,71,7824,10560
97,167,1513,1764,10471
98,98,2418,5972,10454
99,134,324,428,10192
100,160,331,8501,10010
101,161,195,1341,10314
102,50,2060,9931,10421
103,196,2028,3682,10326
104,65,2257,6532,10277
105,191,2496,3629,10223
106,137,2073,6308,10050
107,6,620,4770,10260
108,152,1935,1971,10500
109,38,148,5686,10546
110,33,2810,6310,10347
111,49,965,7856,10595
112,98,1596,6947,10330
113,97,1883,7835,10549
114,52,1875,5567,10436
115,85,1303,8865,10562
116,180,2223,5995,10592
117,5,232,4305,10114
118,11,448,426,10570
119,135,2839,7425,10357
120,30,182,779,10246
121,87,2684,9518,10537
122,20,1946,170,10307
123,55,549,6660,10387
124,67,959,4836,10425
